-5.894  4.569  5.084  5.084  
-4.588  0.564  4.039  4.292  
-5.073  2.376  3.980  3.980  
-4.820  1.590  3.130  4.454  
-3.957  -0.549  3.399  4.623  
-3.406  -0.530  2.297  3.663  
-3.246  -0.954  2.390  3.702  
-3.740  0.132  3.254  3.254  
-3.536  -0.089  2.470  3.087  
-2.998  -0.704  1.581  3.266  
-5.622  3.200  4.236  5.616  
-4.092  0.388  2.067  4.559  
-2.374  -1.371  1.501  3.439  
-1.966  -1.966  3.004  3.004  
-1.883  -1.883  2.414  2.414  
-1.791  -1.791  1.962  1.962  
-5.358  1.931  5.136  5.136  
-3.790  -1.160  4.694  4.694  
-6.171  5.915  5.915  5.915  
