 -10.458   -11.161   -10.902   -10.902
 -10.586   -10.563   -10.726   -10.803
 -10.520   -11.093   -10.691   -10.691
 -10.549   -10.918   -10.332   -10.815
 -10.697   -10.391   -10.573   -10.951
 -10.718   -10.694   -10.227   -10.685
 -10.812   -10.467   -10.343   -10.564
 -10.628   -10.954   -10.598   -10.598
 -10.670   -10.946   -10.226   -10.380
 -10.786   -10.847   -9.947    -10.415
 -10.481   -10.912   -10.561   -11.207
 -10.640   -10.819   -10.078   -10.909
 -10.879   -10.780   -9.900    -10.650
 -10.776   -10.776   -10.570   -10.570
 -10.821   -10.821   -10.214   -10.214
 -10.888   -10.888   -10.005   -10.005
 -10.506   -10.618   -11.023   -11.023
 -10.783   -10.195   -10.998   -10.998
 -10.439   -11.242   -11.242   -11.242
